variable;variable_old;text;info
feel_work_9;Q38_9;In diesem Block mÌ¦chten wir gerne erfahren, wie Sie persÌ¦nlich Ihre Arbeit wahrnehmen. - Mir fÌ_llt es schwer, morgens fÌ_r den Job aufzustehen.;"{""ImportId"":""QID79_9""}"
feel_work_10;Q38_10;In diesem Block mÌ¦chten wir gerne erfahren, wie Sie persÌ¦nlich Ihre Arbeit wahrnehmen. - Meine Arbeit macht mir SpaÌÙ.;"{""ImportId"":""QID79_10""}"
feel_work_11;Q38_11;In diesem Block mÌ¦chten wir gerne erfahren, wie Sie persÌ¦nlich Ihre Arbeit wahrnehmen. - FlexibilitÌ_t ist in meinem Arbeitsalltag sehr wichtig.;"{""ImportId"":""QID79_11""}"
feel_work_12;Q38_12;In diesem Block mÌ¦chten wir gerne erfahren, wie Sie persÌ¦nlich Ihre Arbeit wahrnehmen. - Die Inhalte meiner Arbeit interessieren mich auch privat.;"{""ImportId"":""QID79_12""}"
feel_time_1;Q41_1;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fÌ_hlen Sie sich... - unzufrieden:zufrieden;"{""ImportId"":""QID114_1""}"
feel_time_2;Q41_2;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fÌ_hlen Sie sich... - gelangweilt:enthusiastisch;"{""ImportId"":""QID114_2""}"
feel_time_3;Q41_3;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fÌ_hlen Sie sich... - deprimiert:frÌ¦hlich;"{""ImportId"":""QID114_3""}"
feel_time_4;Q41_4;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fÌ_hlen Sie sich... - miserabel:hervorragend;"{""ImportId"":""QID114_4""}"
free_time_1;Q42_1;Dieser Absatz dient dazu, mehr Ì_ber Ihre Freizeit zu erfahren. - Zu wissen, dass ich am Folgetag arbeiten muss, stresst mich.;"{""ImportId"":""QID81_1""}"
free_time_2;Q42_2;Dieser Absatz dient dazu, mehr Ì_ber Ihre Freizeit zu erfahren. - Nach Feierabend fÌ_hle ich mich geschlaucht.;"{""ImportId"":""QID81_2""}"
free_time_3;Q42_3;Dieser Absatz dient dazu, mehr Ì_ber Ihre Freizeit zu erfahren. - Nach Feierabend erledige ich noch Aufgaben im Haushalt oder treffe mich mit Freunden.;"{""ImportId"":""QID81_3""}"
free_time_4;Q42_4;Dieser Absatz dient dazu, mehr Ì_ber Ihre Freizeit zu erfahren. - Auch auÌÙerhalb meiner Arbeitszeit bin ich fÌ_r meine Kollegen erreichbar und springe spontan ein oder helfe.;"{""ImportId"":""QID81_4""}"
free_time_5;Q42_5;Dieser Absatz dient dazu, mehr Ì_ber Ihre Freizeit zu erfahren. - Die Arbeit macht mir SpaÌÙ und ich mache mir gerne auch in meiner Freizeit Gedanken Ì_ber Projekte oder Ì_hnliches.;"{""ImportId"":""QID81_5""}"
free_time_6;Q42_6;Dieser Absatz dient dazu, mehr Ì_ber Ihre Freizeit zu erfahren. - Ich bin erleichtert, wenn das Wochenende bevorsteht.;"{""ImportId"":""QID81_6""}"
free_time_7;Q42_7;Dieser Absatz dient dazu, mehr Ì_ber Ihre Freizeit zu erfahren. - Ich denke auch in meiner Freizeit Ì_ber die Arbeit nach.;"{""ImportId"":""QID81_7""}"
free_time_8;Q42_8;Dieser Absatz dient dazu, mehr Ì_ber Ihre Freizeit zu erfahren. - Mir fÌ_llt es leicht, nach meiner Arbeitszeit abzuschalten.;"{""ImportId"":""QID81_8""}"
free_time_9;Q42_9;Dieser Absatz dient dazu, mehr Ì_ber Ihre Freizeit zu erfahren. - Meine Arbeitsstelle bietet mir genÌ_gend Freiheiten.;"{""ImportId"":""QID81_9""}"
work_time_free;Q44;Ich kann mir meine Arbeitszeit frei einteilen.;"{""ImportId"":""QID82""}"
flex_feel_1;Q46_1;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre EinschÌ_tzung der MÌ¦glichkeit, Arbeitszeiten flexibel einzuteilen. - Eine freie Einteilung der Arbeitszeit ermÌ¦glicht einen leichteren Alltag.;"{""ImportId"":""QID83_1""}"
flex_feel_2;Q46_2;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre EinschÌ_tzung der MÌ¦glichkeit, Arbeitszeiten flexibel einzuteilen. - Die Arbeit frei einzuteilen verbessert meine persÌ¦nlichen Routinen.;"{""ImportId"":""QID83_3""}"
flex_feel_3;Q46_3;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre EinschÌ_tzung der MÌ¦glichkeit, Arbeitszeiten flexibel einzuteilen. - Um produktiv arbeiten zu kÌ¦nnen, benÌ¦tige ich feste Strukturen.;"{""ImportId"":""QID83_4""}"
flex_feel_4;Q46_4;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre EinschÌ_tzung der MÌ¦glichkeit, Arbeitszeiten flexibel einzuteilen. - Durch Freiheiten bei der Einteilung der Arbeitszeit verliere ich schnell den ÌÏberblick Ì_ber meinen tatsÌ_chlichen Arbeitsaufwand.;"{""ImportId"":""QID83_5""}"
attitude_company_1;Q50_1;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Ich fÌ_hle mich in die Arbeitsprozesse vollstÌ_ndig integriert.;"{""ImportId"":""QID90_1""}"
attitude_company_2;Q50_2;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Ich werde auch von unterwegs  in Arbeitsprozesse mit eingebunden.;"{""ImportId"":""QID90_2""}"
attitude_company_3;Q50_3;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Mir fÌ_llt es schwer, mich mit der Unternehmenskultur zu identifizieren.;"{""ImportId"":""QID90_3""}"
attitude_company_4;Q50_4;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Die genutzten Tools integrieren mich besser in die Arbeitsprozesse.;"{""ImportId"":""QID90_4""}"
attitude_company_5;Q50_5;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Im Allgemeinen bin ich mit meiner Arbeit zufrieden.;"{""ImportId"":""QID90_5""}"
