variable;variable_old;text;info
Q42_4;Q42_4;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Auch außerhalb meiner Arbeitszeit bin ich für meine Kollegen erreichbar und springe spontan ein oder helfe.;"{""ImportId"":""QID81_4""}"
Q42_5;Q42_5;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Die Arbeit macht mir Spaß und ich mache mir gerne auch in meiner Freizeit Gedanken über Projekte oder ähnliches.;"{""ImportId"":""QID81_5""}"
Q42_6;Q42_6;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Ich bin erleichtert, wenn das Wochenende bevorsteht.;"{""ImportId"":""QID81_6""}"
Q42_7;Q42_7;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Ich denke auch in meiner Freizeit über die Arbeit nach.;"{""ImportId"":""QID81_7""}"
Q42_8;Q42_8;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Mir fällt es leicht, nach meiner Arbeitszeit abzuschalten.;"{""ImportId"":""QID81_8""}"
Q42_9;Q42_9;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Meine Arbeitsstelle bietet mir genügend Freiheiten.;"{""ImportId"":""QID81_9""}"
Q44;Q44;Ich kann mir meine Arbeitszeit frei einteilen.;"{""ImportId"":""QID82""}"
Q46_1;Q46_1;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Eine freie Einteilung der Arbeitszeit ermöglicht einen leichteren Alltag.;"{""ImportId"":""QID83_1""}"
Q46_2;Q46_2;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Die Arbeit frei einzuteilen verbessert meine persönlichen Routinen.;"{""ImportId"":""QID83_3""}"
Q46_3;Q46_3;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Um produktiv arbeiten zu können, benötige ich feste Strukturen.;"{""ImportId"":""QID83_4""}"
Q46_4;Q46_4;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Durch Freiheiten bei der Einteilung der Arbeitszeit verliere ich schnell den Überblick über meinen tatsächlichen Arbeitsaufwand.;"{""ImportId"":""QID83_5""}"
Q50_1;Q50_1;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Ich fühle mich in die Arbeitsprozesse vollständig integriert.;"{""ImportId"":""QID90_1""}"
Q50_2;Q50_2;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Ich werde auch von unterwegs  in Arbeitsprozesse mit eingebunden.;"{""ImportId"":""QID90_2""}"
Q50_3;Q50_3;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Mir fällt es schwer, mich mit der Unternehmenskultur zu identifizieren.;"{""ImportId"":""QID90_3""}"
Q50_4;Q50_4;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Die genutzten Tools integrieren mich besser in die Arbeitsprozesse.;"{""ImportId"":""QID90_4""}"
Q50_5;Q50_5;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Im Allgemeinen bin ich mit meiner Arbeit zufrieden.;"{""ImportId"":""QID90_5""}"
