variable;variable_old;text;info
orej2_1;orej2_1;Warum haben Sie sich für eine Online-Bewerbung entschieden? - Selected Choice - Wurde vom Arbeitgeber so vorgegeben;"{""ImportId"":""QID64"",""choiceId"":""1""}"
orej2_2;orej2_2;Warum haben Sie sich für eine Online-Bewerbung entschieden? - Selected Choice - persönliche Präferenz;"{""ImportId"":""QID64"",""choiceId"":""2""}"
orej2_3;orej2_3;Warum haben Sie sich für eine Online-Bewerbung entschieden? - Selected Choice - Anderes;"{""ImportId"":""QID64"",""choiceId"":""3""}"
orej2_3_sonstiges;orej2_3_TEXT;Warum haben Sie sich für eine Online-Bewerbung entschieden? - Anderes - Text;"{""ImportId"":""QID64_3_TEXT""}"
oren1_1;oren1_1;Warum haben Sie sich gegen eine Online-Bewerbung entschieden? - Selected Choice - Wurde vom Arbeitgeber nicht angeboten;"{""ImportId"":""QID65"",""choiceId"":""1""}"
oren1_2;oren1_2;Warum haben Sie sich gegen eine Online-Bewerbung entschieden? - Selected Choice - persönliche Präferenz;"{""ImportId"":""QID65"",""choiceId"":""2""}"
oren1_3;oren1_3;Warum haben Sie sich gegen eine Online-Bewerbung entschieden? - Selected Choice - Anderes;"{""ImportId"":""QID65"",""choiceId"":""3""}"
oren1_3_sonstiges;oren1_3_TEXT;Warum haben Sie sich gegen eine Online-Bewerbung entschieden? - Anderes - Text;"{""ImportId"":""QID65_3_TEXT""}"
oren2;oren2;Haben Sie sich bereits einmal traditionell bei einem Arbeitgeber beworben?;"{""ImportId"":""QID66""}"
orew;orew;Haben Sie sich bereits einmal traditionell bei einem Arbeitgeber beworben?;"{""ImportId"":""QID75""}"
orrpk_1;orrpk_1;Kostenfaktoren - OR ist günstiger als andere Bewerbungsverfahren.;"{""ImportId"":""QID68_1""}"
orrpk_2;orrpk_2;Kostenfaktoren - OR ermöglicht geringe Kosten für den Arbeitnehmer.;"{""ImportId"":""QID68_2""}"
orrpz_1;orrpz_1;zeitliche Faktoren - OR ist sehr zeitintensiv.;"{""ImportId"":""QID69_1""}"
orrpz_2;orrpz_2;zeitliche Faktoren - OR ist zeitlich unabhängig und flexibel.;"{""ImportId"":""QID69_2""}"
orrpz_3;orrpz_3;zeitliche Faktoren - In traditionelle Bewerbungsverfahren investiert der Arbeitssuchende mehr Zeit als in OR.;"{""ImportId"":""QID69_3""}"
orrppe_1;orrppe_1;Praktikabiliät und Effizienz - OR ist praktisch.;"{""ImportId"":""QID70_1""}"
orrppe_2;orrppe_2;Praktikabiliät und Effizienz - Das traditionelle Bewerbungsverfahren ist effektiver als OR.;"{""ImportId"":""QID70_2""}"
orrppe_3;orrppe_3;Praktikabiliät und Effizienz - OR ermöglicht es, sich mit wenig Aufwand auf einen Job zu bewerben.;"{""ImportId"":""QID70_3""}"
orrps_1;orrps_1;Sicherheit - Ich sorge mich bei OR um die Sicherheit meiner Daten.;"{""ImportId"":""QID71_1""}"
orrps_2;orrps_2;Sicherheit - Bei OR kommt meine Bewerbung zuverlässig beim Arbeitgeber an.;"{""ImportId"":""QID71_2""}"
orrps_3;orrps_3;Sicherheit - OR würde ich als sicher einschätzen.;"{""ImportId"":""QID71_3""}"
orrps_4;orrps_4;Sicherheit - Beim traditionellen Bewerbungsverfahren ist der Datenschutz höher als bei OR.;"{""ImportId"":""QID71_4""}"
orrps_5;orrps_5;Sicherheit - Firmen, die mit OR arbeiten, sind seriös.;"{""ImportId"":""QID71_5""}"
orrpzg_1;orrpzg_1;Zielgruppenerschließung - Jeder kann OR nutzen.;"{""ImportId"":""QID72_1""}"
orrpzg_2;orrpzg_2;Zielgruppenerschließung - OR ist selbsterklärend.;"{""ImportId"":""QID72_2""}"
orrpzg_3;orrpzg_3;Zielgruppenerschließung - Ältere Generationen nutzen eher traditionelle Bewerbungsverfahren.;"{""ImportId"":""QID72_3""}"
orrpzg_4;orrpzg_4;Zielgruppenerschließung - Millennials sind sicherer im Umgang mit Technik.;"{""ImportId"":""QID72_4""}"
orrpi_1;orrpi_1;Interaktion - OR erleichtert den Zugang zum Unternehmen.;"{""ImportId"":""QID73_1""}"
orrpi_2;orrpi_2;Interaktion - Traditionelle Bewerbungsverfahren sind persönlicher.;"{""ImportId"":""QID73_2""}"
orrpi_3;orrpi_3;Interaktion - Bei OR erhält man schnelles Feedback zu seiner Bewerbung.;"{""ImportId"":""QID73_3""}"
orrpi_4;orrpi_4;Interaktion - Feedback zu der Bewerbung ist irrelevant.;"{""ImportId"":""QID73_4""}"
ora;ora;Haben Sie noch Anmerkungen, Hinweise oder Erfahrungen bezüglich Online-Recruiting?;"{""ImportId"":""QID74_TEXT""}"
urlaub;Q124;Wie viele Tage Urlaub stehen Ihnen im Jahr zur Verfügung?;"{""ImportId"":""QID124_TEXT""}"
overtime;Q125;Wie werden Ihre Überstunden abgegolten?;"{""ImportId"":""QID125""}"
arbeitsklima_1;Q127_1;Bitte bewerten Sie die folgenden Aussagen zu Ihrem Arbeitsklima. - Ich fühle mich wohl an meinem Arbeitsplatz.;"{""ImportId"":""QID127_1""}"
arbeitsklima_2;Q127_2;Bitte bewerten Sie die folgenden Aussagen zu Ihrem Arbeitsklima. - Ich habe ein gutes Verhältnis zu meinen Arbeitskollegen.;"{""ImportId"":""QID127_2""}"
arbeitsklima_3;Q127_3;Bitte bewerten Sie die folgenden Aussagen zu Ihrem Arbeitsklima. - Ich habe ein gutes Verhältnis zu meinem Arbeitergeber.;"{""ImportId"":""QID127_3""}"
arbeitsklima_4;Q127_4;Bitte bewerten Sie die folgenden Aussagen zu Ihrem Arbeitsklima. - Ich frage meine Kollegen regelmäßig um Rat.;"{""ImportId"":""QID127_4""}"
arbeitsklima_5;Q127_5;Bitte bewerten Sie die folgenden Aussagen zu Ihrem Arbeitsklima. - Ich frage meinen Vorgesetzten regelmäßig, ob er mit meiner Arbeit zufrieden ist.;"{""ImportId"":""QID127_5""}"
arbeitsklima_6;Q127_6;Bitte bewerten Sie die folgenden Aussagen zu Ihrem Arbeitsklima. - Ich bitte andere regelmäßig um Feedback zu meiner Arbeitsleistung,;"{""ImportId"":""QID127_6""}"
arbeitsklima_7;Q127_7;Bitte bewerten Sie die folgenden Aussagen zu Ihrem Arbeitsklima. - Ich bitte meinen Vorgesetzten regelmäßig darum, mich zu coachen.;"{""ImportId"":""QID127_7""}"
arbeitsklima_8;Q127_8;Bitte bewerten Sie die folgenden Aussagen zu Ihrem Arbeitsklima. - Ich suche regelmäßig bei meinem Vorgesetzten nach Inspiration.;"{""ImportId"":""QID127_8""}"
anforderung_1;Q128_1;Bitte bewerten Sie die folgenden Aussagen zu Ihren Arbeitsanforderungen. - Ich erfahre regelmäßig von neuen Entwicklungen auf der Arbeit und probiere neue Arbeitsweisen gerne aus.;"{""ImportId"":""QID128_1""}"
anforderung_2;Q128_2;Bitte bewerten Sie die folgenden Aussagen zu Ihren Arbeitsanforderungen. - Ich übernehme regelmäßig zusätzliche Aufgaben bei der Arbeit.;"{""ImportId"":""QID128_2""}"
anforderung_3;Q128_3;Bitte bewerten Sie die folgenden Aussagen zu Ihren Arbeitsanforderungen. - Ich starte regelmäßig neue Projekte.;"{""ImportId"":""QID128_3""}"
anforderung_4;Q128_4;Bitte bewerten Sie die folgenden Aussagen zu Ihren Arbeitsanforderungen. - Ich versuche regelmäßig, meine Arbeit herausfordernder zu gestalten.;"{""ImportId"":""QID128_4""}"
anforderung_5;Q128_5;Bitte bewerten Sie die folgenden Aussagen zu Ihren Arbeitsanforderungen. - Ich biete oft pro-aktiv an, zusätzliche Aufgaben oder Verantwortung in Projektarbeiten zu übernehmen.;"{""ImportId"":""QID128_5""}"
anforderung_6;Q128_6;Bitte bewerten Sie die folgenden Aussagen zu Ihren Arbeitsanforderungen. - Ich fühle mich aktuell in meinem Job herausgefordert.;"{""ImportId"":""QID128_6""}"
anforderung_7;Q128_7;Bitte bewerten Sie die folgenden Aussagen zu Ihren Arbeitsanforderungen. - Ich werde beruflich gerne herausgefordert.;"{""ImportId"":""QID128_7""}"
anforderung_8;Q128_8;Bitte bewerten Sie die folgenden Aussagen zu Ihren Arbeitsanforderungen. - Angesichts neuer Herausforderungen fühle ich mich oft gestresst.;"{""ImportId"":""QID128_8""}"
anforderung_9;Q128_9;Bitte bewerten Sie die folgenden Aussagen zu Ihren Arbeitsanforderungen. - Ich bin auf der Arbeit darauf bedacht, Aufgaben zu erfüllen, die meinen Arbeitsplatz sichern.;"{""ImportId"":""QID128_13""}"
motivation_1;Q129_1;Bitte bewerten Sie folgende Fragen zu Ihrer Arbeitsmotivation. - Ich werde von meinem Arbeitgeber motiviert stets bessere Leistungen zu erbringen.;"{""ImportId"":""QID129_1""}"
motivation_2;Q129_2;Bitte bewerten Sie folgende Fragen zu Ihrer Arbeitsmotivation. - Ich werde von meinen Arbeitskollegen motiviert stets bessere Leistungen zu erbringen.;"{""ImportId"":""QID129_2""}"
motivation_3;Q129_3;Bitte bewerten Sie folgende Fragen zu Ihrer Arbeitsmotivation. - Ich werden von anderen (Freunden, Familie etc.) motiviert stets bessere Leistungen zu erbringen.;"{""ImportId"":""QID129_3""}"
motivation_4;Q129_4;Bitte bewerten Sie folgende Fragen zu Ihrer Arbeitsmotivation. - Ich motiviere mich selbst stets bessere Leistungen zu erbringen und an mir zu arbeiten.;"{""ImportId"":""QID129_4""}"
more_1;Q130_1;Was motiviert Sie härter zu arbeiten? Bitte wählen Sie mindestens drei Optionen aus. - Selected Choice - Mehr Gehalt;"{""ImportId"":""QID130"",""choiceId"":""1""}"
more_2;Q130_2;Was motiviert Sie härter zu arbeiten? Bitte wählen Sie mindestens drei Optionen aus. - Selected Choice - Höheres Ansehen;"{""ImportId"":""QID130"",""choiceId"":""2""}"
more_3;Q130_3;Was motiviert Sie härter zu arbeiten? Bitte wählen Sie mindestens drei Optionen aus. - Selected Choice - Bessere Position;"{""ImportId"":""QID130"",""choiceId"":""3""}"
more_4;Q130_4;Was motiviert Sie härter zu arbeiten? Bitte wählen Sie mindestens drei Optionen aus. - Selected Choice - Stärkere Lernkurve;"{""ImportId"":""QID130"",""choiceId"":""4""}"
more_5;Q130_5;Was motiviert Sie härter zu arbeiten? Bitte wählen Sie mindestens drei Optionen aus. - Selected Choice - Eigene Herausforderung;"{""ImportId"":""QID130"",""choiceId"":""5""}"
more_6;Q130_6;Was motiviert Sie härter zu arbeiten? Bitte wählen Sie mindestens drei Optionen aus. - Selected Choice - Spaß und Interesse;"{""ImportId"":""QID130"",""choiceId"":""6""}"
more_7;Q130_7;Was motiviert Sie härter zu arbeiten? Bitte wählen Sie mindestens drei Optionen aus. - Selected Choice - sonstiges;"{""ImportId"":""QID130"",""choiceId"":""7""}"
more_7_sonstiges;Q130_7_TEXT;Was motiviert Sie härter zu arbeiten? Bitte wählen Sie mindestens drei Optionen aus. - sonstiges - Text;"{""ImportId"":""QID130_7_TEXT""}"
morning_group;Q131_NPS_GROUP;Wenn ich morgens aufstehe, denke ich ... - Gruppe;"{""ImportId"":""QID131_NPS_GROUP""}"
morning;Q131;Wenn ich morgens aufstehe, denke ich ...;"{""ImportId"":""QID131""}"
konkurrenz_1;Q132_1;Bitte bewerten Sie folgende Aussagen zur Arbeitsweise durch Konkurrenz. - Es besteht Leistungsdruck durch Konkurrenz unter Kollegen an meinem Arbeitsplatz.;"{""ImportId"":""QID132_1""}"
konkurrenz_2;Q132_2;Bitte bewerten Sie folgende Aussagen zur Arbeitsweise durch Konkurrenz. - Es besteht eine höhere Motivation durch Konkurrenz unter Kollegen an meinem Arbeitsplatz.;"{""ImportId"":""QID132_2""}"
wlb_1;Q133_1;Bitte bewerten Sie die folgenden Aussagen zu Ihrer work-life-Balance. - Ich trenne Arbeit und Privatleben.;"{""ImportId"":""QID133_1""}"
wlb_2;Q133_2;Bitte bewerten Sie die folgenden Aussagen zu Ihrer work-life-Balance. - Ich arbeite nach Feierabend zuhause weiter.;"{""ImportId"":""QID133_2""}"
wlb_3;Q133_3;Bitte bewerten Sie die folgenden Aussagen zu Ihrer work-life-Balance. - Ich checke nach Feierabend meine E-Mails.;"{""ImportId"":""QID133_3""}"
wlb_4;Q133_4;Bitte bewerten Sie die folgenden Aussagen zu Ihrer work-life-Balance. - Ich habe festgelegte Ruhephasen.;"{""ImportId"":""QID133_4""}"
wlb_5;Q133_5;Bitte bewerten Sie die folgenden Aussagen zu Ihrer work-life-Balance. - Mein Job lässt mir aktuell genügend Freizeit.;"{""ImportId"":""QID133_5""}"
wlb_6;Q133_6;Bitte bewerten Sie die folgenden Aussagen zu Ihrer work-life-Balance. - Ich wünsche mir mehr Freizeit.;"{""ImportId"":""QID133_6""}"
wlb_7;Q133_7;Bitte bewerten Sie die folgenden Aussagen zu Ihrer work-life-Balance. - Ich fühle mich aktuell gestresst von der Arbeit.;"{""ImportId"":""QID133_7""}"
wlb_8;Q133_8;Bitte bewerten Sie die folgenden Aussagen zu Ihrer work-life-Balance. - Ich kann gut mit Stress umgehen.;"{""ImportId"":""QID133_8""}"
wlb_9;Q133_9;Bitte bewerten Sie die folgenden Aussagen zu Ihrer work-life-Balance. - Ich bin ein Arbeitstier.;"{""ImportId"":""QID133_9""}"
wlb_10;Q133_10;Bitte bewerten Sie die folgenden Aussagen zu Ihrer work-life-Balance. - Ich bin ein Familienmensch.;"{""ImportId"":""QID133_10""}"
wlb_11;Q133_11;Bitte bewerten Sie die folgenden Aussagen zu Ihrer work-life-Balance. - Ich bekomme mein Arbeitsleben und Privatleben gut unter einen Hut.;"{""ImportId"":""QID133_11""}"
wlb_12;Q133_12;Bitte bewerten Sie die folgenden Aussagen zu Ihrer work-life-Balance. - Ich habe genug Zeit meinen Hobbys nachzugehen.;"{""ImportId"":""QID133_12""}"
wlb_13;Q133_13;Bitte bewerten Sie die folgenden Aussagen zu Ihrer work-life-Balance. - In meiner Freizeit denke ich oft an die Arbeit.;"{""ImportId"":""QID133_13""}"
freetime_1;Q134_7;Wie gestalten Sie Ihre Freizeit in der Regel? - Selected Choice - Sport;"{""ImportId"":""QID134"",""choiceId"":""7""}"
